standard_event	dataset_label	standard_action	standard_activity	dataset
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
vehicle	Accelerating_and_revving_and_vroom	engine_accelerating		Fsd50k
vehicle	engine accelerating, revving, vroom	engine_accelerating		VGGSound
vehicle	Accelerating, revving, vroom	engine_accelerating		AudioSet_strong
vehicle	Accelerating, revving, vroom	engine_accelerating		AudioSet
vehicle	Air brake	air_brake		AudioSet
vehicle	Air brake	air_brake		AudioSet_strong
vehicle	Air horn, truck horn	vehicle_horn		AudioSet_strong
vehicle	Air horn, truck horn	vehicle_horn		AudioSet
vehicle	Air horn, truck horn	air_horn_or_truck_horn		AudioSet_strong
vehicle	Air horn, truck horn	air_horn_or_truck_horn		AudioSet
vehicle	Aircraft			AudioSet_strong
vehicle	Aircraft			Fsd50k
vehicle	Aircraft			AudioSet
vehicle	Aircraft engine			AudioSet_strong
vehicle	Aircraft engine			AudioSet
vehicle	airplane			ESC50
vehicle	airplane			VGGSound
vehicle	airplane flyby			VGGSound
vehicle	Ambulance (siren)	siren_ringing		AudioSet_strong
vehicle	Ambulance (siren)	siren_ringing		AudioSet
vehicle	Ambulance (siren)	vehicle_siren_ringing		AudioSet_strong
vehicle	Ambulance (siren)	vehicle_siren_ringing		AudioSet
vehicle	Ambulance (siren)	ambulance_siren_ringing		AudioSet_strong
vehicle	Ambulance (siren)	ambulance_siren_ringing		AudioSet
vehicle	ambulance siren	ambulance_siren_ringing		VGGSound
vehicle	ambulance siren	siren_ringing		VGGSound
vehicle	ambulance siren	vehicle_siren_ringing		VGGSound
vehicle	Bicycle			Fsd50k
vehicle	Bicycle			AudioSet
vehicle	Bicycle, tricycle			AudioSet_strong
vehicle	Boat_and_Water_vehicle			Fsd50k
vehicle	Boat, Water vehicle			AudioSet_strong
vehicle	Boat, Water vehicle			AudioSet
vehicle	Brake	brakes_squeaking		Singapura
vehicle	brakes_squeaking	brakes_squeaking		MAESTROreal
vehicle	brakes squeaking	brakes_squeaking		TUTSoundEvents2017
vehicle	bus			Urbansas
vehicle	bus			MAVDtraffic
vehicle	Bus			Fsd50k
vehicle	Bus			AudioSet_strong
vehicle	Bus			AudioSet
vehicle	bus			IDMTtraffic
vehicle	bus/brakes	bus_brake		MAVDtraffic
vehicle	bus/brakes	brakes_squeaking		MAVDtraffic
vehicle	bus/compressor			MAVDtraffic
vehicle	bus/engine_accelerating	engine_accelerating		MAVDtraffic
vehicle	bus/engine_idling			MAVDtraffic
vehicle	bus/wheel_rolling	wheel_rolling		MAVDtraffic
vehicle	bus/wheel_rolling	vehicle_passing_by		MAVDtraffic
vehicle	driving buses			VGGSound
vehicle	car			TUTSoundEvents2017
vehicle	car			Urbansas
vehicle	car			MAVDtraffic
vehicle	car			MAESTROreal
vehicle	Car			Fsd50k
vehicle	Car			AudioSet_strong
vehicle	Car			AudioSet
vehicle	car			IDMTtraffic
vehicle	Car alarm	car_alarm_ringing		AudioSet_strong
vehicle	Car alarm	car_alarm_ringing		AudioSet
vehicle	Car alarm	car_alarm_ringing		Singapura
vehicle	Car horn	vehicle_horn		Singapura
